,bs1,bs2,bs_delta,std1,std2,std_delta
855,0.5717480778694153,0.5717481,0.0,3.2392518520355225,1.5588037,-1.6804481744766235
856,1.1281973123550415,1.1281973,0.0,5.820657730102539,3.1236308,-2.6970269680023193
857,0.8065536618232727,0.80655354,-1.1920928955078125e-07,4.029858112335205,1.828644,-2.201214075088501
858,0.9791097640991211,0.9791098,5.960464477539063e-08,3.873696804046631,1.8696072,-2.004089593887329
859,0.7660040855407715,0.7660041,0.0,4.043622016906738,1.8142784,-2.2293436527252197
860,0.601467490196228,0.60146743,-5.960464477539063e-08,2.8911266326904297,1.3000585,-1.591068148612976
861,0.640221357345581,0.64022136,0.0,3.246671199798584,1.6511811,-1.5954900979995728
862,0.6371951103210449,0.6371951,0.0,3.5445103645324707,1.6261547,-1.9183557033538818
863,0.4881945848464966,0.48819458,0.0,2.372981071472168,1.1159234,-1.2570576667785645
864,0.6218457221984863,0.62184566,-5.960464477539063e-08,3.4605350494384766,1.7471354,-1.7133996486663818
865,0.45515206456184387,0.45515206,0.0,2.255608320236206,1.0337783,-1.2218300104141235
866,0.37778687477111816,0.37778687,0.0,2.1086056232452393,0.93702674,-1.1715788841247559
867,0.6757429242134094,0.6757429,0.0,3.5440356731414795,1.5220625,-2.021973133087158
868,0.5626398324966431,0.5626399,5.960464477539063e-08,3.125685691833496,1.3651545,-1.7605311870574951
869,0.32320520281791687,0.32320517,-2.9802322387695312e-08,1.3637690544128418,0.4958757,-0.8678933680057526
870,1.3047397136688232,1.3047397,0.0,7.484790325164795,3.3389657,-4.145824670791626
871,0.5810111165046692,0.5810111,0.0,3.3189096450805664,1.6134808,-1.7054288387298584
872,0.5831862688064575,0.58318627,0.0,3.0825321674346924,1.3188226,-1.763709545135498
873,0.8179813027381897,0.8179813,0.0,4.25748348236084,1.9138801,-2.3436033725738525
874,0.5364972949028015,0.53649724,-5.960464477539063e-08,2.8222427368164062,1.318936,-1.5033067464828491
875,0.3420141041278839,0.34201413,2.9802322387695312e-08,1.7304354906082153,0.7876669,-0.9427685737609863
876,0.6401745676994324,0.64017457,0.0,2.795929431915283,1.2022451,-1.5936843156814575
877,0.40381917357444763,0.40381914,-2.9802322387695312e-08,2.0277292728424072,0.827957,-1.199772298336029
878,0.6937853097915649,0.6937853,0.0,3.573709011077881,1.824087,-1.7496219873428345
879,0.4540868103504181,0.4540868,0.0,2.4027342796325684,1.0439564,-1.3587778806686401
880,0.5441341996192932,0.5441342,0.0,2.7248306274414062,1.1450093,-1.5798213481903076
881,0.5529255270957947,0.5529255,0.0,2.976417064666748,1.4489205,-1.527496576309204
882,0.6802909970283508,0.68029094,-5.960464477539063e-08,3.604492425918579,1.6096466,-1.9948458671569824
883,0.6061937212944031,0.60619366,-5.960464477539063e-08,3.1334822177886963,1.338748,-1.794734239578247
884,0.9293742775917053,0.92937446,1.7881393432617188e-07,4.895842552185059,2.4486806,-2.447161912918091
885,0.8743374943733215,0.8743376,1.1920928955078125e-07,4.083698749542236,1.8971335,-2.1865652799606323
886,0.5853817462921143,0.58538175,0.0,3.1301677227020264,1.3974999,-1.7326678037643433
887,0.9593771696090698,0.95937717,0.0,5.327942371368408,2.5517883,-2.776154041290283
888,0.5988945960998535,0.5988945,-1.1920928955078125e-07,2.976755142211914,1.4987301,-1.4780250787734985
889,0.6464217901229858,0.6464218,0.0,3.2771975994110107,1.474064,-1.8031336069107056
890,0.677891194820404,0.67789114,-5.960464477539063e-08,3.6752891540527344,1.6214924,-2.0537967681884766
891,0.45059388875961304,0.4505938,-8.940696716308594e-08,2.5335817337036133,1.1385816,-1.3950001001358032
892,0.509242057800293,0.50924206,0.0,2.761622667312622,1.2662063,-1.4954164028167725
893,0.7329710721969604,0.7329711,0.0,4.396602153778076,2.0566854,-2.339916706085205
894,0.42121002078056335,0.42121002,0.0,2.251386880874634,0.9555259,-1.295861005783081
895,0.6906264424324036,0.69062644,0.0,3.5659615993499756,1.5481944,-2.0177671909332275
896,0.43183642625808716,0.43183643,0.0,2.2933530807495117,0.95764244,-1.3357106447219849
